,UNI_TR_D,GRU_TAR,DIC,FIC,ENE_MED,ENE_MAX,UNI_TR_S,ARE_LOC,geometry_untrd,geometry_untrs,eu_dis_untrs,eu_dis_nfe,main_r_dist,secondary_r_dist
0,101415715,1,76.55,28.0,97.79166666666666,372.0,27707534,0,POINT (143363.8919659965 7518580.694111673),POINT (151650.7712599388 7531499.6391658),15348.338989738259,14503.943924815252,7174.246301943852,7424.656819873917
1,103455355,1,8.31,7.0,91.33333333333333,116.0,27707534,1,POINT (156545.3686460499 7524131.089982674),POINT (151650.7712599388 7531499.6391658),8846.050001909316,21854.434425480445,17768.33140014626,395.88937582992924
2,105138826,1,16.1,12.0,13.583333333333334,35.0,27707534,0,POINT (159329.4560415341 7522722.773843249),POINT (151650.7712599388 7531499.6391658),11661.713633308675,24943.242576914392,20611.624088846016,265.90806798845114
3,106512676,1,17.24,8.0,84.83333333333333,101.0,27707534,0,POINT (153744.9451893417 7526685.02927966),POINT (151650.7712599388 7531499.6391658),5250.336446581685,18462.895285176746,15155.618111779044,2825.851151313688
4,108015624,1,19.15,9.0,158.16666666666666,180.0,27707534,0,POINT (154603.2472335487 7526545.041681215),POINT (151650.7712599388 7531499.6391658),5767.594872128098,19330.440264812525,15983.786567347579,2271.915949849469
5,108762777,1,12.8,7.0,172.25,242.0,27707534,1,POINT (157660.1618366021 7524022.351174233),POINT (151650.7712599388 7531499.6391658),9592.841644253018,22948.873473361626,18884.329925158298,413.4574055253004
6,108968852,2,28.04,11.0,248.5,319.0,27707534,0,POINT (149667.2393513313 7530953.232720299),POINT (151650.7712599388 7531499.6391658),2057.415572058756,13887.282500737454,12277.751820712952,600.7862967916192
7,111175979,1,6.01,7.0,67.95,506.0,27707534,0,POINT (158907.8118660874 7526583.334455928),POINT (151650.7712599388 7531499.6391658),8765.539935429002,23535.332786718955,20259.39811291015,1949.7869702172115
8,139258729,1,30.73,10.0,33.916666666666664,40.0,27707534,0,POINT (142743.9864377198 7521410.037044873),POINT (151650.7712599388 7531499.6391658),13458.487538647063,11806.431540405169,4841.466392524242,4577.246284741487
9,140929114,2,31.29,9.0,14.5,80.0,27707534,0,POINT (157102.2185701994 7519888.608148134),POINT (151650.7712599388 7531499.6391658),12827.093165239863,24017.86306591602,18841.202710752772,2196.7539691055636
10,143930648,1,9.7,5.0,15.0,30.0,27707534,0,POINT (161431.430756684 7527723.801504814),POINT (151650.7712599388 7531499.6391658),10484.190490132814,25852.79206384046,22910.65352769174,4563.863647495984
11,150766668,1,1.45,2.0,1.9166666666666667,23.0,27707534,0,POINT (147066.3187945795 7522523.042585984),POINT (151650.7712599388 7531499.6391658),10079.508448525983,14081.633342523692,8474.440319527512,2800.7094649389583
12,152029160,2,22.55,8.0,40.666666666666664,157.0,27707534,0,POINT (142295.7243031081 7520539.960160877),POINT (151650.7712599388 7531499.6391658),14409.422870311926,12275.859744741303,5028.288078502746,5411.808776261504
13,154081659,1,358.91000000000014,145.0,55.44607843137255,1411.0,27707534,0,POINT (156634.60941617 7525829.021944907),POINT (151650.7712599388 7531499.6391658),7549.472990441088,21472.730967324875,17922.712924137773,965.928693605065
14,157722925,1,77.7,60.0,119.34722222222221,914.0,27707534,0,POINT (151498.5998163477 7523099.646970769),POINT (151650.7712599388 7531499.6391658),8401.370425402087,17567.231696910654,12776.73321838674,1173.4035363252779
15,171446540,1,0.0,0.0,16.666666666666668,100.0,27707534,0,POINT (146823.3630949744 7525498.91016832),POINT (151650.7712599388 7531499.6391658),7701.468567251599,12312.775819692097,8134.192025170795,11.066672027630176
16,26876230,1,41.04,12.0,157.90000000000003,1576.0,27707534,1,POINT (151676.8448799398 7531496.430151112),POINT (151650.7712599388 7531499.6391658),26.270352780668997,15906.48485855858,13731.123028566608,2.291958457323679
17,26876231,1,46.91,13.0,55.095238095238095,769.0,27707534,1,POINT (151675.120032085 7531591.423533162),POINT (151650.7712599388 7531499.6391658),94.95911118515636,15908.344510757006,13669.592197569173,92.40563059492266
18,26876232,1,112.86000000000001,33.0,161.09090909090912,2334.0,27707534,1,POINT (151827.3156117203 7531414.292176588),POINT (151650.7712599388 7531499.6391658),196.09185784624862,16054.248962343076,13899.528078296376,1.0764809426426412
19,26876233,1,51.3,15.0,115.81666666666668,725.0,27707534,1,POINT (151726.3075299594 7531863.733890392),POINT (151650.7712599388 7531499.6391658),371.8476792508156,15972.856060389215,13539.461518572232,355.1728925413387
20,26876234,1,10.26,3.0,68.5,127.0,27707534,1,POINT (151996.9185660388 7531228.771397877),POINT (151650.7712599388 7531499.6391658),439.53077846681873,16219.460787621923,14148.350637253194,2.349886252858704
21,26876235,1,135.60000000000002,40.0,106.58333333333333,2034.0,27707534,0,POINT (151893.587438889 7530906.220759126),POINT (151650.7712599388 7531499.6391658),641.1747828315642,16113.671445630842,14276.303505892956,332.7916897604777
22,26876236,1,393.04,136.0,131.77857142857147,6420.0,27707534,1,POINT (152250.1012098357 7531207.798417963),POINT (151650.7712599388 7531499.6391658),666.6088890357416,16472.255595493585,14357.81650380236,0.8451371827805473
23,26876237,1,10.26,3.0,20.916666666666668,35.0,27707534,0,POINT (151939.7426914079 7530553.265582827),POINT (151650.7712599388 7531499.6391658),989.508689580196,16164.502969668765,14364.255122303775,674.1296069792303
24,26876238,1,10.26,3.0,169.33333333333334,196.0,27707534,0,POINT (151633.7815870883 7530640.53147706),POINT (151650.7712599388 7531499.6391658),859.2756657997326,15856.723471183986,14087.300978202209,576.9121989840892
