,UNI_TR_D,GRU_TAR,DIC,FIC,ENE_MED,ENE_MAX,UNI_TR_S,ARE_LOC,geometry_untrd,geometry_untrs,TIEMPO_MIN,DISTANCIA_KM
0,101415715,1,38.275,14.0,97.79166666666666,372.0,27707534,0,POINT (-42.46341790071551 -22.40185708573586),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
1,103455355,1,8.31,7.0,91.33333333333333,116.0,27707534,1,POINT (-42.33438329585238 -22.35449058677113),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
2,105138826,1,16.1,12.0,13.583333333333334,35.0,27707534,0,POINT (-42.30768926095061 -22.36774641296654),POINT (-42.38023628887362 -22.28705286010137),51.11666666666667,26.069000000000003
3,106512676,1,17.24,8.0,84.83333333333333,101.0,27707534,0,POINT (-42.36098230748746 -22.33089576762552),POINT (-42.38023628887362 -22.28705286010137),61.68333333333333,27.599
4,108015624,1,19.15,9.0,158.16666666666666,180.0,27707534,0,POINT (-42.35269220578061 -22.33233078253954),POINT (-42.38023628887362 -22.28705286010137),58.98333333333333,26.695999999999998
5,108762777,1,12.8,7.0,172.25,242.0,27707534,1,POINT (-42.32359774184226 -22.35569372498537),POINT (-42.38023628887362 -22.28705286010137),48.78333333333333,23.855
6,108968852,2,28.04,11.0,248.5,319.0,27707534,0,POINT (-42.39957708541414 -22.29157865782872),POINT (-42.38023628887362 -22.28705286010137),7.933333333333334,2.6460000000000004
7,111175979,1,1.202,1.4,67.95,506.0,27707534,0,POINT (-42.3109543539602 -22.33284424236786),POINT (-42.38023628887362 -22.28705286010137),52.36666666666667,25.98
8,139258729,1,30.73,10.0,33.916666666666664,40.0,27707534,0,POINT (-42.46879605789172 -22.37621443744627),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
9,140929114,2,31.29,9.0,14.5,80.0,27707534,0,POINT (-42.32989521838959 -22.39286400556938),POINT (-42.38023628887362 -22.28705286010137),69.65,33.871
10,143930648,1,9.7,5.0,15.0,30.0,27707534,0,POINT (-42.28624759055384 -22.32305656620753),POINT (-42.38023628887362 -22.28705286010137),67.7,29.805999999999997
11,150766668,1,1.45,2.0,1.9166666666666667,23.0,27707534,0,POINT (-42.42664007887652 -22.36707146007979),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
12,152029160,2,22.55,8.0,40.666666666666664,157.0,27707534,0,POINT (-42.47333731676372 -22.38396699368178),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
13,154081659,1,21.11235294117648,8.529411764705882,55.44607843137255,1411.0,27707534,0,POINT (-42.33315348554487 -22.33919507029623),POINT (-42.38023628887362 -22.28705286010137),51.3,24.498
14,157722925,1,12.950000000000001,10.0,119.34722222222221,914.0,27707534,0,POINT (-42.38353908326206 -22.36277652281825),POINT (-42.38023628887362 -22.28705286010137),39.23333333333333,16.801
15,171446540,1,0.0,0.0,16.666666666666668,100.0,27707534,0,POINT (-42.428338301971 -22.34018536776045),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
16,26876230,1,8.208,2.4,157.90000000000003,1576.0,27707534,1,POINT (-42.3799843150241 -22.28708706761404),POINT (-42.38023628887362 -22.28705286010137),12.833333333333336,4.277
17,26876231,1,6.701428571428571,1.8571428571428572,55.095238095238095,769.0,27707534,1,POINT (-42.37998041106709 -22.2862300253953),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
18,26876232,1,10.260000000000002,3.0,161.09090909090912,2334.0,27707534,1,POINT (-42.37854397522426 -22.28785821558415),POINT (-42.38023628887362 -22.28705286010137),12.25,4.084
19,26876233,1,10.26,3.0,115.81666666666668,725.0,27707534,1,POINT (-42.37942528115178 -22.28378454302219),POINT (-42.38023628887362 -22.28705286010137),12.7,4.232
20,26876234,1,10.26,3.0,68.5,127.0,27707534,1,POINT (-42.37694063420287 -22.2895655703947),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
21,26876235,1,10.430769230769233,3.076923076923077,106.58333333333333,2034.0,27707534,0,POINT (-42.37801198576449 -22.29245362443515),POINT (-42.38023628887362 -22.28705286010137),11.516666666666667,3.838
22,26876236,1,11.229714285714286,3.8857142857142857,131.77857142857147,6420.0,27707534,1,POINT (-42.37449161929277 -22.28980579999762),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
23,26876237,1,10.26,3.0,20.916666666666668,35.0,27707534,0,POINT (-42.37764127802251 -22.29564606031738),POINT (-42.38023628887362 -22.28705286010137),11.466666666666667,3.822
24,26876238,1,10.26,3.0,169.33333333333334,196.0,27707534,0,POINT (-42.38058747143464 -22.29479724599605),POINT (-42.38023628887362 -22.28705286010137),10.75,3.582
25,26876239,1,27.14,8.0,182.97916666666666,979.0,27707534,1,POINT (-42.37337191028541 -22.29158413290139),POINT (-42.38023628887362 -22.28705286010137),10.183333333333334,3.397
26,26876240,1,27.14,8.0,112.41666666666667,125.0,27707534,0,POINT (-42.37165814510729 -22.29400280468565),POINT (-42.38023628887362 -22.28705286010137),10.183333333333334,3.397
27,26876241,1,10.260000000000002,3.0,99.36666666666667,1566.0,27707534,1,POINT (-42.37063670951648 -22.28689971814742),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
28,26876242,1,33.13166666666667,10.166666666666666,174.29166666666666,1527.0,27707534,0,POINT (-42.36898387790359 -22.29642392712248),POINT (-42.38023628887362 -22.28705286010137),10.183333333333334,3.397
29,26876243,1,6.540000000000001,2.0,139.45,881.0,27707534,1,POINT (-42.36853767117657 -22.285547679182),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
30,26876246,1,27.14,8.0,65.08333333333333,87.0,27707534,0,POINT (-42.36711490323017 -22.30656810353508),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
31,26876247,1,40.27428571428572,12.428571428571429,85.90476190476191,1017.0,27707534,1,POINT (-42.36210636381759 -22.28090245688281),POINT (-42.38023628887362 -22.28705286010137),7.883333333333334,2.633
32,26876248,2,50.61,16.0,46.5,246.0,27707534,1,POINT (-42.36411449418853 -22.28223287075036),POINT (-42.38023628887362 -22.28705286010137),7.083333333333332,2.366
33,26876249,1,6.54,2.0,142.58333333333334,178.0,27707534,1,POINT (-42.36543658842777 -22.28691528271406),POINT (-42.38023628887362 -22.28705286010137),6.5,2.17
34,26876250,2,50.61,16.0,283.4166666666667,492.0,27707534,1,POINT (-42.36532126746249 -22.2801836602477),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
35,26876251,1,47.0225,14.666666666666666,117.24999999999999,2175.0,27707534,1,POINT (-42.36008843173568 -22.27885653160359),POINT (-42.38023628887362 -22.28705286010137),9.033333333333333,3.014
36,26876252,1,73.99,17.0,18.916666666666668,39.0,27707534,1,POINT (-42.35744899527486 -22.28098013852252),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
37,26876253,1,78.695,19.0,114.66666666666667,266.0,27707534,1,POINT (-42.35347654050992 -22.28125843193106),POINT (-42.38023628887362 -22.28705286010137),10.333333333333334,3.45
38,26876254,1,6.54,2.0,152.91666666666666,2883.0,27707534,1,POINT (-42.36312087283 -22.28783393029158),POINT (-42.38023628887362 -22.28705286010137),7.2,2.407
39,26876255,1,77.47749999999999,18.5,146.85416666666666,1093.0,27707534,1,POINT (-42.35512294736611 -22.28066257172026),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
40,26876256,1,49.035000000000004,16.0,145.06944444444443,1382.0,27707534,1,POINT (-42.35718159625361 -22.27456635265503),POINT (-42.38023628887362 -22.28705286010137),11.1,3.7030000000000003
41,26876257,1,27.139999999999997,8.0,48.33333333333333,461.0,27707534,0,POINT (-42.36947436814751 -22.30979145631062),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
42,26876258,2,60.39,14.0,84.25,115.0,27707534,1,POINT (-42.35105924288973 -22.28082169326649),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
43,26876259,1,33.81,10.0,125.3888888888889,653.0,27707534,1,POINT (-42.36284247330144 -22.27809074359288),POINT (-42.38023628887362 -22.28705286010137),8.65,2.886
44,26876260,1,27.14,8.0,11.833333333333334,30.0,27707534,0,POINT (-42.37415263153866 -22.3105008550304),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
45,26876261,1,53.9675,16.5,163.66666666666666,1074.0,27707534,1,POINT (-42.35401078367067 -22.27709650979602),POINT (-42.38023628887362 -22.28705286010137),10.383333333333333,3.465
46,26876262,1,6.540000000000001,2.0,171.28333333333336,1068.0,27707534,1,POINT (-42.36326771233502 -22.29103426941595),POINT (-42.38023628887362 -22.28705286010137),7.883333333333334,2.6319999999999997
47,26876263,2,39.865,12.5,192.29166666666669,863.0,27707534,1,POINT (-42.35764156530593 -22.27125176815451),POINT (-42.38023628887362 -22.28705286010137),11.716666666666667,3.91
48,26876264,2,81.9675,19.0,132.33333333333331,855.0,27707534,1,POINT (-42.34497420869275 -22.28410756421266),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
49,26876265,1,6.54,2.0,75.16666666666667,255.0,27707534,1,POINT (-42.36090967644037 -22.28987426808294),POINT (-42.38023628887362 -22.28705286010137),8.2,2.74
50,26876266,1,10.16,3.0,155.13888888888889,911.0,27707534,1,POINT (-42.36085953204173 -22.29303366557116),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0
