,UNI_TR_D,TIEMPO_MIN,DISTANCIA_KM
0,26877970,35.68333333333333,14.464
1,26877971,35.78333333333333,14.514
2,26877972,36.81666666666667,15.032
3,26877973,40.38333333333333,16.411
4,26877974,41.4,16.807
5,26877975,41.233333333333334,16.698
6,26877977,0.0,0.0
7,26877978,44.06666666666667,20.491
8,26877979,0.0,0.0
9,26877980,0.0,0.0
10,26877981,0.0,0.0
11,26877982,53.38333333333333,21.44
12,26877983,53.516666666666666,21.489
13,26877984,54.333333333333336,21.76
14,26877985,55.21666666666667,22.052
15,26877986,51.95,20.962
16,26877987,55.21666666666667,22.052
17,26877988,55.21666666666667,22.052
18,26877989,55.78333333333333,22.242
19,26877990,53.95,21.629
20,26877991,0.0,0.0
21,26877992,0.0,0.0
22,26877993,0.0,0.0
23,26877994,57.15,22.694
24,26877995,45.833333333333336,29.803
25,26877996,38.71666666666667,24.059
26,26877997,50.9,20.612
27,26877998,56.333333333333336,22.426
28,26877999,55.21666666666667,22.052
29,26878975,19.55,11.71
30,26878976,23.95,12.647
31,26878977,17.75,11.985
32,26878978,23.116666666666667,12.112
33,26878979,22.45,12.188
34,26878980,17.966666666666665,12.146
35,26878981,0.0,0.0
36,26878982,19.316666666666666,13.234
37,26878983,19.733333333333334,13.374
38,26878984,19.466666666666665,13.453
39,26878985,20.316666666666666,13.562
40,26878986,20.5,13.571
41,26878987,20.083333333333332,14.017
42,26878988,21.116666666666667,14.122
43,26878989,21.85,14.042
44,26878990,21.116666666666667,14.122
45,26878991,20.5,14.4
46,26878992,21.116666666666667,14.122
47,26878993,21.233333333333334,15.073
48,26878994,21.516666666666666,15.342
49,26878995,26.033333333333335,15.807
50,26878996,23.983333333333334,14.752
51,26878997,22.316666666666666,14.357
52,26878998,21.883333333333333,15.577
53,26878999,23.466666666666665,16.107
54,26879000,26.666666666666668,15.962
55,26879001,22.533333333333335,16.357
56,26879002,27.316666666666666,16.079
57,26879003,29.216666666666665,16.352
58,26879004,25.85,16.104
59,26879005,20.916666666666668,12.166
60,26879006,23.95,12.647
61,26879007,23.95,12.647
62,26879008,18.416666666666668,12.531
63,26877969,33.9,13.575
64,26880405,3.95,1.432
65,26880406,0.06666666666666667,0.079
66,26880407,0.0,0.0
67,26880408,1.0333333333333334,0.268
68,26880409,1.1666666666666667,0.308
69,26880410,0.0,0.0
70,26880411,1.8166666666666667,0.665
71,26880412,2.6,0.868
72,26880413,2.5166666666666666,0.833
73,26880414,2.3833333333333333,0.805
74,26880415,0.0,0.0
75,26880416,3.7666666666666666,0.802
76,26880417,3.8666666666666667,1.131
77,26880418,3.8,1.383
78,26880419,3.683333333333333,1.363
79,26880420,0.0,0.0
80,26880421,2.6333333333333333,0.851
81,26880422,0.0,0.0
82,26880424,3.716666666666667,1.581
83,26880425,3.55,1.51
84,26880426,3.283333333333333,1.438
85,26880427,3.3,1.443
86,26880428,4.366666666666666,1.596
87,26880429,4.266666666666667,1.578
88,26878560,22.216666666666665,10.322
89,26878561,30.366666666666667,12.521
90,26878562,16.566666666666666,8.277
91,26878563,28.733333333333334,11.336
92,26878564,19.433333333333334,9.554
93,26878565,23.283333333333335,10.666
94,26878566,19.65,9.617
95,26878567,28.783333333333335,11.353
96,26878569,27.716666666666665,11.003
97,26878570,18.383333333333333,8.435
98,26878571,23.283333333333335,10.666
99,26878572,0.0,0.0
100,26878573,21.65,10.156
101,26878574,22.416666666666668,10.411
102,26878575,0.0,0.0
103,26878576,29.65,12.278
104,26878577,29.316666666666666,12.167
105,26878578,30.283333333333335,12.492
106,26878579,31.083333333333332,12.756
107,26878580,22.183333333333334,10.304
108,26878581,27.833333333333332,11.036
109,26878583,18.383333333333333,8.435
110,26878584,23.166666666666668,10.594
111,26878585,21.116666666666667,10.091
112,26878587,26.416666666666668,10.563
113,26878588,30.3,12.496
114,26878589,21.0,10.044
115,26878590,23.366666666666667,8.839
116,26878591,19.516666666666666,9.855
117,26878592,22.283333333333335,8.479
118,26878593,25.516666666666666,11.557
119,26878594,21.766666666666666,8.303
120,26878595,20.4,10.573
121,26878596,0.0,0.0
122,26878597,17.883333333333333,7.01
123,26878598,29.1,12.75
124,26878599,29.5,12.881
125,26878600,16.766666666666666,6.639
126,26878601,29.9,13.015
127,26880404,3.9833333333333334,1.432
128,26877437,0.0,0.0
129,26877438,8.233333333333333,3.008
130,26877439,7.683333333333334,2.801
131,26877440,10.583333333333334,3.724
132,26877441,0.0,0.0
133,26877442,10.933333333333334,3.84
134,26877443,11.083333333333334,3.892
135,26877444,10.033333333333333,3.564
136,26877445,0.0,0.0
137,26877446,6.533333333333333,4.167
138,26877447,7.333333333333333,4.561
139,26877448,0.0,0.0
140,26877449,10.583333333333334,5.347
141,26877450,0.0,0.0
142,26877451,8.633333333333333,6.107
143,26877452,10.9,3.834
144,26877453,18.216666666666665,7.894
